year,price_bucket,price_bucket_pretty,ticket_tier_count,sold_out_count
2023,(blank),Free / 0 VND,37,3
2023,"(0,100000]",<= 100k,53,2
2023,"(100000,500000]",100k - 500k,1048,86
2023,"(500000,1000000]",500k - 1M,1168,111
2023,"(1000000,5000000]",1M - 5M,869,211
2023,"(5000000,10000000]",5M - 10M,39,14
2023,"(10000000,20000000]",10M - 20M,4,1
2023,"(20000000,+inf)",> 20M,15,12
2024,(blank),Free / 0 VND,27,4
2024,"(0,100000]",<= 100k,60,6
2024,"(100000,500000]",100k - 500k,879,143
2024,"(500000,1000000]",500k - 1M,814,172
2024,"(1000000,5000000]",1M - 5M,785,273
2024,"(5000000,10000000]",5M - 10M,42,15
2024,"(10000000,20000000]",10M - 20M,3,1
2024,"(20000000,+inf)",> 20M,1,0
2025,(blank),Free / 0 VND,76,28
2025,"(0,100000]",<= 100k,104,16
2025,"(100000,500000]",100k - 500k,1001,257
2025,"(500000,1000000]",500k - 1M,1010,416
2025,"(1000000,5000000]",1M - 5M,1478,871
2025,"(5000000,10000000]",5M - 10M,106,70
2025,"(10000000,20000000]",10M - 20M,10,2
2025,"(20000000,+inf)",> 20M,2,0
