app_id,avg_dau_2025,days_with_dau
1051206681,64914.434426229505,366
1105855019,33840.661202185795,366
1150288115,2589481.770491803,366
1195621598,32781.18032786885,366
1238026766,1317.2486338797814,366
1300146617,933389.4644808744,366
1427414541,81400.85792349727,366
1435297178,49506.54644808743,366
1438396625,258415.0300546448,366
1448024270,578.9617486338798,366
1464689103,2106.0109289617485,366
1471932438,4724.136612021858,366
1477030970,21371.147540983606,366
1480516829,787315.393442623,366
1521236603,36655.51366120219,366
1528287521,26097.50273224044,366
1531280382,247517.956284153,366
1568659894,2906.0409836065573,366
1572615571,934.8169398907104,366
1574489575,56046.35519125683,366
1596859213,3362.5737704918033,366
1612175933,547775.3715846995,366
1613648368,47118.06284153005,366
1616630100,6316.065573770492,366
1621098895,7118.549180327869,366
1643854223,8747.70218579235,366
406889139,174450.3661202186,366
553834731,189203.46174863388,366
638689075,94957.3087431694,366
6443760593,17326.696721311477,366
6449674450,635.7158469945355,366
6451463643,470457.90983606555,366
6451477469,66400.21038251366,366
6468942281,62185.01366120219,366
6470252900,26011.743169398906,366
6473259128,2620.035519125683,366
6474715805,1214171.4918032787,366
6502480712,31596.483606557376,366
6502928253,2592.3527272727274,275
6575363756,29782.72950819672,366
6670441558,2618.8387978142077,366
6670604287,215125.17919075146,173
6736925794,60417.98882681564,358
6737226348,838282.5512820513,78
6738500946,26153.51572327044,159
6743144418,41653.101694915254,59
6747331870,5927.420765027322,183
6748588650,536584.9444444445,18
942043135,583.3743169398907,366
com.MelsoftGames.FamilyIslandFarm,492.80232558139534,258
com.angame.gunnymobi.vn,1527.8546511627908,344
com.ddup.zombiewaves.zw,13954.188524590163,366
com.dts.freefiremax,2665302.281420765,366
com.dts.freefireth,3194120.0464480873,366
com.farlightgames.samo.gp.vn,17507.658469945356,366
com.fun.lastwar.vn.gp,51660.63305322129,357
com.garena.game.df,241439.22988505746,174
com.garena.game.fcmobilevn,544649.077922078,77
com.garena.game.fo4mvn,124046.96994535519,366
com.garena.game.kgvn,7121930.636612022,366
com.global.dqvn,63046.56284153005,366
com.greenmushroom.boomblitz.gp.vn,26812.562841530056,366
com.gs2.omg,7932.232240437159,366
com.gsn.zps.full,14062.844262295082,366
com.hhgame.mlbbvn,430460.51639344264,366
com.igg.android.lordsmobilevn,48999.928961748636,366
com.king.candycrushsaga,220863.73224043715,366
com.miHoYo.GenshinImpact.vn,123442.31147540984,366
com.moonactive.coinmaster,187199.868852459,366
com.mxdzz.sea,4513.163323782235,349
com.nkpm.vnaz,22960.7615658363,281
com.playrix.gardenscapes,17708.650273224044,366
com.playrix.homescapes,24510.09836065574,366
com.playrix.township,50831.82240437158,366
com.readygo.dark.gp,5851.455927051672,329
com.riotgames.league.teamfighttacticsvn,401829.1038251366,366
com.riotgames.league.wildriftvn,195280.44262295082,366
com.roblox.client.vnggames,3542979.879781421,366
com.rok.gp.vn,63698.68579234973,366
com.snmjglo.google,6288.27700831025,361
com.szckhd.jwgly.azvn,528.4908424908425,273
com.topwar.gp.vn,685.4535519125683,366
com.twincorp.bancaonline,28944.75956284153,366
com.vng.codmvn,19085.275956284153,366
com.vng.metalslug.rambolun,20873.792349726777,366
com.vng.mf.uamo,17757.486338797815,366
com.vng.ngoisaothoitrang,75270.75409836066,366
com.vng.playtogether,1331971.199453552,366
com.vng.pubgmobile,316601.68032786885,366
com.vng.speedvn,74601.38524590163,366
com.vnggames.cfl.crossfirelegends,320260.5882352941,17
com.vntth.sgzzlb.gp.vn,9512.467213114754,366
gsn.game.sam,1630.5273224043715,366
gsn.game.zingplaynew,125912.6393442623,366
io.randomco.travel,30121.775956284153,366
vng.game.gunny.mobi.classic.original,586.6008583690987,233
vng.games.mu.webzen.online,16149.687272727273,275
vnggames.topeleven.football.soccermanager,4836.863387978142,366
vnggames.volam.kiemthe.origin,34671.23224043716,366
